Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
Pongo abelii	9601	Pongo abelii	Lesson, 1827	SPECIES			Sumatran orangutan	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Pongo	9599	Pongo abelii	9601
Mauremys reevesii	260615	Mauremys reevesii	(Gray, 1831)	SPECIES	Emys reevesii	Gray, 1831	Reeves's turtle	no	turtles	Eukaryota	2759	Metazoa	33208	Chordata	7711			Testudines	8459	Geoemydidae	328320	Mauremys	74925	Mauremys reevesii	260615
Drosophila mauritiana	7226	Drosophila mauritiana	Tsacas & David, 1974	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Drosophilidae	7214	Drosophila	7215	Drosophila mauritiana	7226
Tachyglossus aculeatus	9261	Tachyglossus aculeatus	(Shaw, 1792)	SPECIES	Myrmecophaga aculeata	Shaw, 1792	Australian echidna	no	monotremes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Monotremata	9255	Tachyglossidae	9259	Tachyglossus	9260	Tachyglossus aculeatus	9261
Ischnura elegans	197161	Ischnura elegans	(Vander Linden, 1820)	SPECIES				no	damselflies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Odonata	6961	Coenagrionidae	70895	Ischnura	79456	Ischnura elegans	197161
Plodia interpunctella	58824	Plodia interpunctella	(Hubner, 1813)	SPECIES	Tinea interpunctella	Hübner, 1813	Indianmeal moth	no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Pyralidae	7135	Plodia	58823	Plodia interpunctella	58824
Vanessa cardui	171605	Vanessa cardui	(Linnaeus, 1758)	SPECIES	Papilio cardui	Linnaeus, 1758		no	butterflies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Nymphalidae	33415	Vanessa	42274	Vanessa cardui	171605
Episyrphus balteatus	286459	Episyrphus balteatus	(De Geer, 1776)	SPECIES	Musca balteata	De Geer, 1776	marmalade hoverfly	no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Syrphidae	34680	Episyrphus	286458	Episyrphus balteatus	286459
Necator americanus	51031	Necator americanus	Stiles, 1902	SPECIES			New World hookworm	no	nematodes	Eukaryota	2759	Metazoa	33208	Nematoda	6231	Chromadorea	119089	Rhabditida	6236	Ancylostomatidae	33278	Necator	51030	Necator americanus	51031
Caenorhabditis remanei	31234	Caenorhabditis remanei	(Sudhaus, 1974)	SPECIES				no	nematodes	Eukaryota	2759	Metazoa	33208	Nematoda	6231	Chromadorea	119089	Rhabditida	6236	Rhabditidae	6243	Caenorhabditis	6237	Caenorhabditis remanei	31234
Monomorium pharaonis	307658	Monomorium pharaonis	(Linnaeus, 1758)	SPECIES			pharaoh ant	no	ants	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Formicidae	36668	Monomorium	55077	Monomorium pharaonis	307658
Plectropomus leopardus	160734	Plectropomus leopardus	(Lacepède, 1802)	SPECIES	Holocentrus leopardus	Lacepede, 1802	leopard coralgrouper	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Serranidae	30871	Plectropomus	134629	Plectropomus leopardus	160734
Amphiprion ocellaris	80972	Amphiprion ocellaris	Cuvier, 1830	SPECIES			clown anemonefish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623			Pomacentridae	30863	Amphiprion	80969	Amphiprion ocellaris	80972
Bactrocera tryoni	59916	Bactrocera tryoni	(Froggatt, 1897)	SPECIES	Tephritis tryoni	Froggatt, 1897		no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Tephritidae	7211	Bactrocera	27456	Bactrocera tryoni	59916
Acinonyx jubatus	32536	Acinonyx jubatus		SPECIES	Felis jubata	Schreber, 1775	cheetah	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Felidae	9681	Acinonyx	32535	Acinonyx jubatus	32536
Eublepharis macularius	481883	Eublepharis macularius	Blyth, 1854	SPECIES	Cyrtodactylus macularius	Blyth, 1854		yes	lizards & snakes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Lepidosauria	8504	Squamata	8509	Eublepharidae	1329930	Eublepharis	96736	Eublepharis macularius	481883
Panthera leo	9689	Panthera leo		SPECIES	Felis leo	Linnaeus, 1758	lion	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Felidae	9681	Panthera	9688	Panthera leo	9689
Vulpes lagopus	494514	Vulpes lagopus		SPECIES	Canis lagopus	Linnaeus, 1758	Arctic fox	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Canidae	9608	Vulpes	9625	Vulpes lagopus	494514
